time (s),arc1,arc2,arc3,arc4,arc5,arc6,ramp
605.3,1,0,0,0,1,1,0.5
608.0,0,1,1,0,0,1,0.5
610.7,0,0,0,1,1,1,0.5
613.3,1,1,0,0,0,1,0.5
616.0,0,0,0,1,1,0,0.5
618.7,0,1,1,0,0,0,0.5
621.3,1,0,0,0,1,0,0.5
624.0,0,0,1,1,0,0,0.5
626.7,0,1,0,0,1,0,0.5
629.3,1,0,0,1,0,0,0.5
632.0,0,0,1,0,1,0,0.5
634.7,0,1,0,1,0,0,0.5
637.3,1,0,1,0,0,0,0.5
640.0,1,0,0,0,0,0,0.5
642.7,1,1,0,0,0,0,0.5
645.3,1,1,1,0,0,0,0.5
648.0,1,1,1,1,0,0,0.5
650.7,1,1,1,1,1,0,0.5
653.3,1,1,1,1,1,1,0.5
656.0,0,1,1,1,1,1,0.5
658.7,0,0,1,1,1,1,0.5
661.3,0,0,0,1,1,1,0.5
664.0,0,0,0,0,1,1,0.5
666.7,0,0,0,0,0,1,0.5
669.3,1,0,1,0,0,1,0.5
672.0,0,1,0,1,0,1,0.5
674.7,0,0,1,0,1,1,0.5
677.3,1,0,0,1,0,1,0.5
680.0,0,1,0,0,1,1,0.5
682.7,0,0,1,1,0,1,0.5
685.3,1,0,0,0,1,1,0.5
688.0,0,1,1,0,0,1,0.5
690.7,0,0,0,1,1,1,0.5
693.3,1,1,0,0,0,1,0.5
696.0,0,0,0,1,1,0,0.5
698.7,0,1,1,0,0,0,0.5
701.3,1,0,0,0,1,0,0.5
704.0,0,0,1,1,0,0,0.5
706.7,0,1,0,0,1,0,0.5
709.3,1,0,0,1,0,0,0.5
712.0,0,0,1,0,1,0,0.5
714.7,0,1,0,1,0,0,0.5
717.3,1,0,1,0,0,0,0.5
720.0,1,0,0,0,0,0,0.5
722.7,1,1,0,0,0,0,0.5
725.3,1,1,1,0,0,0,0.5
728.0,1,1,1,1,0,0,0.5
730.7,1,1,1,1,1,0,0.5
733.3,1,1,1,1,1,1,0.5
736.0,0,1,1,1,1,1,0.5
738.7,0,0,1,1,1,1,0.5
741.3,0,0,0,1,1,1,0.5
744.0,0,0,0,0,1,1,0.5
746.7,0,0,0,0,0,1,0.5
749.3,1,0,1,0,0,1,0.5
752.0,0,1,0,1,0,1,0.5
754.7,0,0,1,0,1,1,0.5
757.3,1,0,0,1,0,1,0.5
760.0,0,1,0,0,1,1,0.5
762.7,0,0,1,1,0,1,0.5
765.3,1,0,0,0,1,1,0.5
768.0,0,1,1,0,0,1,0.5
770.7,0,0,0,1,1,1,0.5
773.3,1,1,0,0,0,1,0.5
776.0,0,0,0,1,1,0,0.5
778.7,0,1,1,0,0,0,0.5
781.3,1,0,0,0,1,0,0.5
784.0,0,0,1,1,0,0,0.5
786.7,0,1,0,0,1,0,0.5
789.3,1,0,0,1,0,0,0.5
792.0,0,0,1,0,1,0,0.5
794.7,0,1,0,1,0,0,0.5
797.3,1,0,1,0,0,0,0.5
800.0,1,0,0,0,0,0,0.5
802.7,1,1,0,0,0,0,0.5
805.3,1,1,1,0,0,0,0.5
808.0,1,1,1,1,0,0,0.5
810.7,1,1,1,1,1,0,0.5
813.3,1,1,1,1,1,1,0.5
816.0,0,1,1,1,1,1,0.5
818.7,0,0,1,1,1,1,0.5
821.3,0,0,0,1,1,1,0.5
824.0,0,0,0,0,1,1,0.5
826.7,0,0,0,0,0,1,0.5
829.3,1,0,1,0,0,1,0.5
832.0,0,1,0,1,0,1,0.5
834.7,0,0,1,0,1,1,0.5
837.3,1,0,0,1,0,1,0.5
840.0,0,1,0,0,1,1,0.5
842.7,0,0,1,1,0,1,0.5
845.3,1,0,0,0,1,1,0.5
848.0,0,1,1,0,0,1,0.5
850.7,0,0,0,1,1,1,0.5
853.3,1,1,0,0,0,1,0.5
856.0,0,0,0,1,1,0,0.5
858.7,0,1,1,0,0,0,0.5
861.3,1,0,0,0,1,0,0.5
864.0,0,0,1,1,0,0,0.5
866.7,0,1,0,0,1,0,0.5
869.3,1,0,0,1,0,0,0.5
872.0,0,0,1,0,1,0,0.5
874.7,0,1,0,1,0,0,0.5
877.3,1,0,1,0,0,0,0.5
880.0,1,0,0,0,0,0,0.5
882.7,1,1,0,0,0,0,0.5
885.3,1,1,1,0,0,0,0.5
888.0,1,1,1,1,0,0,0.5
890.7,1,1,1,1,1,0,0.5
893.3,1,1,1,1,1,1,0.5
896.0,0,1,1,1,1,1,0.5
898.7,0,0,1,1,1,1,0.5
901.3,0,0,0,1,1,1,0.5
904.0,0,0,0,0,1,1,0.5
906.7,0,0,0,0,0,1,0.5
909.3,1,0,1,0,0,1,0.5
912.0,0,1,0,1,0,1,0.5
914.7,0,0,1,0,1,1,0.5
917.3,1,0,0,1,0,1,0.5
920.0,0,1,0,0,1,1,0.5
922.7,0,0,1,1,0,1,0.5
925.3,1,0,0,0,1,1,0.5
928.0,0,1,1,0,0,1,0.5
930.7,0,0,0,1,1,1,0.5
933.3,1,1,0,0,0,1,0.5
936.0,0,0,0,1,1,0,0.5
938.7,0,1,1,0,0,0,0.5
941.3,1,0,0,0,1,0,0.5
944.0,0,0,1,1,0,0,0.5
946.7,0,1,0,0,1,0,0.5
949.3,1,0,0,1,0,0,0.5
952.0,0,0,1,0,1,0,0.5
954.7,0,1,0,1,0,0,0.5
957.3,1,0,1,0,0,0,0.5
960.0,1,0,0,0,0,0,0.5
962.7,1,1,0,0,0,0,0.5
965.3,1,1,1,0,0,0,0.5
968.0,1,1,1,1,0,0,0.5
970.7,1,1,1,1,1,0,0.5
973.3,1,1,1,1,1,1,0.5
976.0,0,1,1,1,1,1,0.5
978.7,0,0,1,1,1,1,0.5
981.3,0,0,0,1,1,1,0.5
984.0,0,0,0,0,1,1,0.5
986.7,0,0,0,0,0,1,0.5
989.3,1,0,1,0,0,1,0.5
992.0,0,1,0,1,0,1,0.5
994.7,0,0,1,0,1,1,0.5
997.3,1,0,0,1,0,1,0.5
"1,000.0",0,1,0,0,1,1,0.5
"1,002.7",0,0,1,1,0,1,0.5
"1,005.3",1,0,0,0,1,1,0.5
"1,008.0",0,1,1,0,0,1,0.5
"1,010.7",0,0,0,1,1,1,0.5
"1,013.3",1,1,0,0,0,1,0.5
"1,016.0",0,0,0,1,1,0,0.5
"1,018.7",0,1,1,0,0,0,0.5
"1,021.3",1,0,0,0,1,0,0.5
"1,024.0",0,0,1,1,0,0,0.5
"1,026.7",0,1,0,0,1,0,0.5
"1,029.3",1,0,0,1,0,0,0.5
"1,032.0",0,0,1,0,1,0,0.5
"1,034.7",0,1,0,1,0,0,0.5
"1,037.3",1,0,1,0,0,0,0.5
"1,040.0",1,0,0,0,0,0,0.5
"1,042.7",1,1,0,0,0,0,0.5
"1,045.3",1,1,1,0,0,0,0.5
"1,048.0",1,1,1,1,0,0,0.5
"1,050.7",1,1,1,1,1,0,0.5
"1,053.3",1,1,1,1,1,1,0.5
"1,056.0",0,1,1,1,1,1,0.5
"1,058.7",0,0,1,1,1,1,0.5
"1,061.3",0,0,0,1,1,1,0.5
"1,064.0",0,0,0,0,1,1,0.5
"1,066.7",0,0,0,0,0,1,0.5
"1,069.3",1,0,1,0,0,1,0.5
"1,072.0",0,1,0,1,0,1,0.5
"1,074.7",0,0,1,0,1,1,0.5
"1,077.3",1,0,0,1,0,1,0.5
"1,080.0",0,1,0,0,1,1,0.5
"1,082.7",0,0,1,1,0,1,0.5
"1,085.3",1,0,0,0,1,1,0.5
"1,088.0",0,1,1,0,0,1,0.5
"1,090.7",0,0,0,1,1,1,0.5
"1,093.3",1,1,0,0,0,1,0.5
"1,096.0",0,0,0,1,1,0,0.5
"1,098.7",0,1,1,0,0,0,0.5
"1,101.3",1,0,0,0,1,0,0.5
"1,104.0",0,0,1,1,0,0,0.5
"1,106.7",0,1,0,0,1,0,0.5
"1,109.3",1,0,0,1,0,0,0.5
"1,112.0",0,0,1,0,1,0,0.5
"1,114.7",0,1,0,1,0,0,0.5
"1,117.3",1,0,1,0,0,0,0.5
"1,120.0",1,0,0,0,0,0,0.5
"1,122.7",1,1,0,0,0,0,0.5
"1,125.3",1,1,1,0,0,0,0.5
"1,128.0",1,1,1,1,0,0,0.5
"1,130.7",1,1,1,1,1,0,0.5
"1,133.3",1,1,1,1,1,1,0.5
"1,136.0",0,1,1,1,1,1,0.5
"1,138.7",0,0,1,1,1,1,0.5
"1,141.3",0,0,0,1,1,1,0.5
"1,144.0",0,0,0,0,1,1,0.5
"1,146.7",0,0,0,0,0,1,0.5
"1,149.3",1,0,1,0,0,1,0.5
"1,152.0",0,1,0,1,0,1,0.5
"1,154.7",0,0,1,0,1,1,0.5
"1,157.3",1,0,0,1,0,1,0.5
"1,160.0",0,1,0,0,1,1,0.5
"1,162.7",0,0,1,1,0,1,0.5
"1,165.3",1,0,0,0,1,1,0.5
"1,168.0",0,1,1,0,0,1,0.5
"1,170.7",0,0,0,1,1,1,0.5
"1,173.3",1,1,0,0,0,1,0.5
"1,176.0",0,0,0,1,1,0,0.5
"1,178.7",0,1,1,0,0,0,0.5
"1,181.3",1,0,0,0,1,0,0.5
"1,184.0",0,0,1,1,0,0,0.5
"1,186.7",0,1,0,0,1,0,0.5
"1,189.3",1,0,0,1,0,0,0.5
"1,192.0",0,0,1,0,1,0,0.5
"1,194.7",0,1,0,1,0,0,0.5
"1,197.3",1,0,1,0,0,0,0.5
"1,200.0",1,0,0,0,0,0,0.5
"1,202.7",1,1,0,0,0,0,0.5
"1,205.3",1,1,1,0,0,0,0.5
"1,208.0",1,1,1,1,0,0,0.5
"1,210.7",1,1,1,1,1,0,0.5
"1,213.3",1,1,1,1,1,1,0.5
"1,216.0",0,1,1,1,1,1,0.5
"1,218.7",0,0,1,1,1,1,0.5
"1,221.3",0,0,0,1,1,1,0.5
"1,224.0",0,0,0,0,1,1,0.5
"1,226.7",0,0,0,0,0,1,0.5
"1,229.3",1,0,1,0,0,1,0.5
"1,232.0",0,1,0,1,0,1,0.5
"1,234.7",0,0,1,0,1,1,0.5
"1,237.3",1,0,0,1,0,1,0.5
"1,240.0",0,1,0,0,1,1,0.5
"1,242.7",0,0,1,1,0,1,0.5
"1,245.3",1,0,0,0,1,1,0.5
"1,248.0",0,1,1,0,0,1,0.5
"1,250.7",0,0,0,1,1,1,0.5
"1,253.3",1,1,0,0,0,1,0.5
"1,256.0",0,0,0,1,1,0,0.5
"1,258.7",0,1,1,0,0,0,0.5
"1,261.3",1,0,0,0,1,0,0.5
"1,264.0",0,0,1,1,0,0,0.5
"1,266.7",0,1,0,0,1,0,0.5
"1,269.3",1,0,0,1,0,0,0.5
"1,272.0",0,0,1,0,1,0,0.5
"1,274.7",0,1,0,1,0,0,0.5
"1,277.3",1,0,1,0,0,0,0.5
"1,280.0",1,0,0,0,0,0,0.5
"1,282.7",1,1,0,0,0,0,0.5
"1,285.3",1,1,1,0,0,0,0.5
"1,288.0",1,1,1,1,0,0,0.5
"1,290.7",1,1,1,1,1,0,0.5
"1,293.3",1,1,1,1,1,1,0.5
"1,296.0",0,1,1,1,1,1,0.5
"1,298.7",0,0,1,1,1,1,0.5
"1,301.3",0,0,0,1,1,1,0.5
"1,304.0",0,0,0,0,1,1,0.5
"1,306.7",0,0,0,0,0,1,0.5
"1,309.3",1,0,1,0,0,1,0.5
"1,312.0",0,1,0,1,0,1,0.5
"1,314.7",0,0,1,0,1,1,0.5
"1,317.3",1,0,0,1,0,1,0.5
"1,320.0",0,1,0,0,1,1,0.5
"1,322.7",0,0,1,1,0,1,0.5
"1,325.3",1,0,0,0,1,1,0.5
"1,328.0",0,1,1,0,0,1,0.5
"1,330.7",0,0,0,1,1,1,0.5
"1,333.3",1,1,0,0,0,1,0.5
"1,336.0",0,0,0,1,1,0,0.5
"1,338.7",0,1,1,0,0,0,0.5
"1,341.3",1,0,0,0,1,0,0.5
"1,344.0",0,0,1,1,0,0,0.5
"1,346.7",0,1,0,0,1,0,0.5
"1,349.3",1,0,0,1,0,0,0.5
"1,352.0",0,0,1,0,1,0,0.5
"1,354.7",0,1,0,1,0,0,0.5
"1,357.3",1,0,1,0,0,0,0.5
"1,360.0",1,0,0,0,0,0,0.5
"1,362.7",1,1,0,0,0,0,0.5
"1,365.3",1,1,1,0,0,0,0.5
"1,368.0",1,1,1,1,0,0,0.5
"1,370.7",1,1,1,1,1,0,0.5
"1,373.3",1,1,1,1,1,1,0.5
"1,376.0",0,1,1,1,1,1,0.5
"1,378.7",0,0,1,1,1,1,0.5
"1,381.3",0,0,0,1,1,1,0.5
"1,384.0",0,0,0,0,1,1,0.5
"1,386.7",0,0,0,0,0,1,0.5
"1,389.3",1,0,1,0,0,1,0.5
"1,392.0",0,1,0,1,0,1,0.5
"1,394.7",0,0,1,0,1,1,0.5
"1,397.3",1,0,0,1,0,1,0.5
"1,400.0",0,1,0,0,1,1,0.5
"1,402.7",0,0,1,1,0,1,0.5
"1,405.3",1,0,0,0,1,1,0.5
"1,408.0",0,1,1,0,0,1,0.5
"1,410.7",0,0,0,1,1,1,0.5
"1,413.3",1,1,0,0,0,1,0.5
"1,416.0",0,0,0,1,1,0,0.5
"1,418.7",0,1,1,0,0,0,0.5
"1,421.3",1,0,0,0,1,0,0.5
"1,424.0",0,0,1,1,0,0,0.5
"1,426.7",0,1,0,0,1,0,0.5
"1,429.3",1,0,0,1,0,0,0.5
"1,432.0",0,0,1,0,1,0,0.5
"1,434.7",0,1,0,1,0,0,0.5
"1,437.3",1,0,1,0,0,0,0.5
"1,440.0",1,0,0,0,0,0,0.5
"1,442.7",1,1,0,0,0,0,0.5
"1,445.3",1,1,1,0,0,0,0.5
"1,448.0",1,1,1,1,0,0,0.5
"1,450.7",1,1,1,1,1,0,0.5
"1,453.3",1,1,1,1,1,1,0.5
"1,456.0",0,1,1,1,1,1,0.5
"1,458.7",0,0,1,1,1,1,0.5
"1,461.3",0,0,0,1,1,1,0.5
"1,464.0",0,0,0,0,1,1,0.5
"1,466.7",0,0,0,0,0,1,0.5
"1,469.3",1,0,1,0,0,1,0.5
"1,472.0",0,1,0,1,0,1,0.5
"1,474.7",0,0,1,0,1,1,0.5
"1,477.3",1,0,0,1,0,1,0.5
"1,480.0",0,1,0,0,1,1,0.5
"1,482.7",0,0,1,1,0,1,0.5
"1,485.3",1,0,0,0,1,1,0.5
"1,488.0",0,1,1,0,0,1,0.5
"1,490.7",0,0,0,1,1,1,0.5
"1,493.3",1,1,0,0,0,1,0.5
"1,496.0",0,0,0,1,1,0,0.5
"1,498.7",0,1,1,0,0,0,0.5
"1,501.3",1,0,0,0,1,0,0.5
"1,504.0",0,0,1,1,0,0,0.5
"1,506.7",0,1,0,0,1,0,0.5
"1,509.3",1,0,0,1,0,0,0.5
"1,512.0",0,0,1,0,1,0,0.5
"1,514.7",0,1,0,1,0,0,0.5
"1,517.3",1,0,1,0,0,0,0.5
"1,520.0",1,0,0,0,0,0,0.5
"1,522.7",1,1,0,0,0,0,0.5
"1,525.3",1,1,1,0,0,0,0.5
"1,528.0",1,1,1,1,0,0,0.5
"1,530.7",1,1,1,1,1,0,0.5
"1,533.3",1,1,1,1,1,1,0.5
"1,536.0",0,1,1,1,1,1,0.5
"1,538.7",0,0,1,1,1,1,0.5
"1,541.3",0,0,0,1,1,1,0.5
"1,544.0",0,0,0,0,1,1,0.5
"1,546.7",0,0,0,0,0,1,0.5
"1,549.3",1,0,1,0,0,1,0.5
"1,552.0",0,1,0,1,0,1,0.5
"1,554.7",0,0,1,0,1,1,0.5
"1,557.3",1,0,0,1,0,1,0.5
"1,560.0",0,1,0,0,1,1,0.5
"1,562.7",0,0,1,1,0,1,0.5
"1,565.3",1,0,0,0,1,1,0.5
"1,568.0",0,1,1,0,0,1,0.5
"1,570.7",0,0,0,1,1,1,0.5
"1,573.3",1,1,0,0,0,1,0.5
"1,576.0",0,0,0,1,1,0,0.5
"1,578.7",0,1,1,0,0,0,0.5
"1,581.3",1,0,0,0,1,0,0.5
"1,584.0",0,0,1,1,0,0,0.5
"1,586.7",0,1,0,0,1,0,0.5
"1,589.3",1,0,0,1,0,0,0.5
"1,592.0",0,0,1,0,1,0,0.5
"1,594.7",0,1,0,1,0,0,0.5
"1,597.3",1,0,1,0,0,0,0.5
"1,600.0",1,0,0,0,0,0,0.5
